Album,Artist,Genre 1,Genre 2,Genre 3,User Submitted
AN INSATIABLE HIGH,Masayoshi Takanaka,Funk,Jazz Fusion,,Ultra
Solid Air,John Martyn,Singer-Songwriter,Jazz Rock,,gabriel
Get Up With It,Miles Davis,Jazz Fusion,Avant-Garde Jazz,,Theo
SUNSHOWER,Taeko Ohnuki,City Pop,,,hobo
Pieces of a Man,Gil Scott-Heron,Soul,Jazz Funk,,Lele
Picchio dal Pozzo,Picchio dal Pozzo,Progressive Rock,,,glootte
John Prine,John Prine,Folk,Singer-Songwriter,,jwebb
Here Come The Warm Jets,Brian Eno,Glam Rock,Experimental Rock,,z33p
Heroes,David Bowie,Art Rock,Glam Rock,,terry
Ritchie Blackmore’s Rainbow,Rainbow,Hard Rock,,,Nate
"Exuma, The Obeah Man",Exuma,Caribbean Folk,Psychedelic Folk,,kylebruh
Thick as a Brick,Jethro Tull,Progressive Rock,,,Tomato
National Health,National Health,Canterbury Scene,Jazz Rock,,zym
Journey to the Centre of the Eye,Nektar,Space Rock,Progressive Rock,,Moonlit Warrior Ortvgal
Focal Point,McCoy Tyner,Modal Jazz,,,DCDUKE
Off the Wall,Michael Jackson,Disco,Flunk,Contemporary R&B,Kaotic
Scary Monsters (and Super Creeps),David Bowie,Post Punk,New Wave,,terry
First Two Seven Inches,Minor Threat,Hardcore Punk,,,Don-Q
Plastic Surgery Disasters,Dead Kennedys,Hardcore Punk,,,z33p
Chips From The Chocolate Fireball,The Dukes Of Stratosphear,Psychedelic Pop,Jangle Pop,,gabriel
Songs from Suicide Bridge,David Kauffman,Folk,Singer-Songwriter,,kylebruh
Somewhere in Time,Iron Maiden,Heavy Metal,,,Nate
The Trinity Session,Cowboy Junkies,Alt-Country,Contemporary Folk,,liv
"Hi, How Are You?",Daniel Johnston,Singer-Songwriter,Lofi,,DCDUKE
Skylarking,XTC,Psychedelic Pop,Pop Rock,,Kaotic
Power Corruption and Lies,New Order,New Wave,Synthpop,,jwebb
First Light,Makoto Matsushita,City Pop,,,jahquavious
Strawberry Switchblade,Strawberry Switchblade,Synthpop,,,glootte
Midnight Cleaners,The Cleaners From Venus,Jangle Pop,New Wave,,Moonlit Warrior Ortvgal
Mr. Hands,Herbie Hancock,Jazz Fusion,Funk,,Theo
It Takes A Nation Of Millions To Hold Us Back,Public Enemy,East Coast Hip Hop,,,Swegify
Bleach,Nirvana,Grunge,Sludge Metal,,terriyaki
Faith,The Cure,Gothic Rock,Post Punk,,Tomato
Spirit of Eden,Talk Talk,Post Rock,Art Rock,,zym
Fushigi,Akina Nakamori,Synthpop,Ethereal Wave,,hobo
Sports,Huey Lewis & The News,Pop Rock,,,Bacchus
Pornography,The Cure,Gothic Rock,Post Punk,,lego
Tiger Trap,Tiger Trap,Twee Pop,,,gregory
Mos Def & Talib Kweli Are Black Star,Black Star,East Coast Hip Hop,Conscious Hip Hop,,Swegify
Odelay,Beck,Alternative Rock,Alt-Country,,terriyaki
"All Screwed Up, Vol. II",DJ Screw,Chopped and Screwed,Southern Hip Hop,,Tomato
Sampling Masters 3,Sampling Masters,Breakbeat,Techno,,HondaS2000
MELTING MOMENT,POISON GiRL FRiEND,Trip Hop,Synthpop,,zym
Portishead,Portishead,Trip Hop,,,Kaotic
Come on Die Young,Mogwai,Post Rock,,,gabriel
Nowhere,Ride,Shoegaze,,,lego
Siamese Dream,The Smashing Pumpkins,Alternative Rock,Shoegaze,,owen
Instrument Soundtrack,Fugazi,Post Rock,Noise Rock,,terry
Transilvanian Hunger,Darkthrone,Black Metal,,,Moonlit Warrior Ortvgal
"Everyone Else Is Doing It, So Why Can't We?",The Cranberries,Irish Rock,Pop Rock,,liv
Neon Ballroom,Silverchair,Post Grunge,Art Rock,,Don-Q
Soundpieces: Da Antidote,Lootpack,West Coast Hip Hop,Boom Bap,,Theo
Images and Words,Dream Theater,Progressive Metal,,,Bacchus
Janet,Janet Jackson,Contemporary R&B,Dance Pop,,hobo
Moment of Trurth,Gang Starr,East Cost Hip Hop,Boom Bap,,z33p
Individual Thought Patterns,Death,Technical Death Metal,Progressive Metal,,Nate
Perfect from Now On,Built to Spill,Indie Rock,,,kylebruh
Spooky,Lush,Dream Pop,Shoegaze,,jwebb
Aerial M,Aerial M,Slowcore,Post Rock,,glootte
In Rainbows,Radiohead,Art Rock,Dream Pop,,gogurt
Be,Common,Conscious Hip Hop,,,Swegify
Chicken Talk,Gucci Mane,Trap,Southern Hip Hop,,hobo
Dead Heart In A Dead World,Nevermore,Progressive Metal,Thrash Metal,,Nate
Meriweather Post Pavilion,Animal Collective,Psychedelic Pop,Experimental Pop,,jwebb
Didn't It Rain,Songs: Ohia,Slowcore,Singer-Songwriter,,kylebruh
勝訴ストリップ (Shōso Strip),Sheena Ringo,J-Rock,Noise Pop,,zym
Remember That I Love You,Kimya Dawson,Anti Folk,Punk Folk,,liv
HARDCORE SYNDROM,Hardcore Tano*C,Hardcore (EDM),,,HondaS2000
Leviathan,Mastodon,Sludge Metal,Progressive Metal,,z33p
Quebec,Ween,Art Rock,Neo Psychedelia,,Kaotic
Jesu,Jesu,Drone Metal,Shoegaze,,Moonlit Warrior Ortvgal
Amputechture,The Mars Volta,Progressive Rock,Art Rock,,Bacchus
Rainbow,Boris With Michio Kurihara,Psychedelic Rock,Noise Rock,,glootte
Velocity: Design: Comfort.,Sweet Trip,IDM,Dream Pop,,terry
A Sort of Sound Track for U.F.O.,Sadesper Record,IDM,Shoegaze,,owen
People Who Can Eat People are the Luckiest People in the World,AJJ,Punk Folk,Anti-Folk,,big
Twoism,Boards of Canada,IDM,,,gabriel
Black Bastards,KMD,East Coast Hip Hop,Boom Bap,,seraphiel
Stankonia,Outkast,Southern Hip Hop,Funk,,*ant
Temporary Forever,BUSDRIVER,Abstract Hip Hop,Experimental Hip Hop,,Tattertoff
Crystal Castles,Crystal Castles,Synthpop,Electronica,,terriyaki
Dandelion Gum,Black Moth Super Rainbow,Neo Psychedelia,Psychedelic Pop,,Theo
Black Messiah,D'Angelo,Funk,Neo Soul,,DCDUKE
Flockaveli,Waka Flocka Flame,Trap,Southern Hip Hop,,Tomato
Masterpiece,Big Thief,Indie Rock,Indie Folk,,zym
Far Side Virtual,James Ferraro,Synthpop,New Age,,terry
House of Sugar,Alex G,Indie Rock,Indie Folk,,jwebb
I Am Not Shinzo Abe,Xinlisupreme,Noise,Shoegaze,,owen
Double Cup,DJ Rashad,Footwork,,,glootte
Race,Alex G,Lo-Fi,Singer-Songwriter,,gregory
We got it from Here... Thank You 4 Your service,A Tribe Called Quest,Conscious Hip Hop,Jazz Rap,,Swegify
Discography,125 Rue Montmartre,Emo,Slowcore,,kylebruh
Planet of Ice,Minus the Bear,Indie Rock,Art Rock,,Bacchus
Bloom,Caligula's Horse,Progressive Metal,Progressive Rock,,Nate
